GEOID,name,population,groupQuarters_population,pop_below_fpl,pop_above_fpl
41041951800,"Census Tract 9518, Lincoln County, Oregon",4142,7,850,3273
41041990100,"Census Tract 9901, Lincoln County, Oregon",0,0,0,0
41043020100,"Census Tract 201, Linn County, Oregon",9563,12,1367,8178
41043020200,"Census Tract 202, Linn County, Oregon",1880,0,296,1540
41043020300,"Census Tract 203, Linn County, Oregon",7695,122,379,7234
41043020400,"Census Tract 204, Linn County, Oregon",4206,35,1321,2873
41043020500,"Census Tract 205, Linn County, Oregon",3677,75,1012,2619
41043020600,"Census Tract 206, Linn County, Oregon",8508,133,906,7475
41043020700,"Census Tract 207, Linn County, Oregon",5876,132,1196,4599
41043020801,"Census Tract 208.01, Linn County, Oregon",2686,266,733,1760
41043020802,"Census Tract 208.02, Linn County, Oregon",6713,49,1981,4683
41043030100,"Census Tract 301, Linn County, Oregon",6032,42,969,5037
41043030200,"Census Tract 302, Linn County, Oregon",6626,16,962,5650
41043030300,"Census Tract 303, Linn County, Oregon",2133,16,264,1869
41043030401,"Census Tract 304.01, Linn County, Oregon",6723,39,1778,4819
41043030402,"Census Tract 304.02, Linn County, Oregon",6961,44,1199,5717
41043030500,"Census Tract 305, Linn County, Oregon",4138,0,496,3642
41043030600,"Census Tract 306, Linn County, Oregon",7102,47,915,6155
41043030700,"Census Tract 307, Linn County, Oregon",3564,5,358,3193
41043030800,"Census Tract 308, Linn County, Oregon",7707,176,1340,6271
41043030902,"Census Tract 309.02, Linn County, Oregon",7958,31,700,7093
41043030903,"Census Tract 309.03, Linn County, Oregon",5656,29,1378,4261
41043030904,"Census Tract 309.04, Linn County, Oregon",4458,16,1011,3409
41045940000,"Census Tract 9400, Malheur County, Oregon",0,0,0,0
41045970200,"Census Tract 9702, Malheur County, Oregon",4835,177,986,3684
41045970300,"Census Tract 9703, Malheur County, Oregon",4333,175,1361,2806
41045970400,"Census Tract 9704, Malheur County, Oregon",4519,83,1882,2594
41045970500,"Census Tract 9705, Malheur County, Oregon",4956,41,1025,3857
41045970600,"Census Tract 9706, Malheur County, Oregon",4077,101,720,3234
41045970700,"Census Tract 9707, Malheur County, Oregon",1812,6,253,1559
41045970900,"Census Tract 9709, Malheur County, Oregon",5942,3044,424,2457
41047000200,"Census Tract 2, Marion County, Oregon",3297,1219,512,1714
41047000300,"Census Tract 3, Marion County, Oregon",4755,129,1138,3617
41047000400,"Census Tract 4, Marion County, Oregon",5263,44,2133,3073
41047000501,"Census Tract 5.01, Marion County, Oregon",3640,107,889,2684
41047000502,"Census Tract 5.02, Marion County, Oregon",5224,144,2279,2828
41047000600,"Census Tract 6, Marion County, Oregon",4936,24,686,4233
41047000701,"Census Tract 7.01, Marion County, Oregon",8710,3185,1769,3881
41047000900,"Census Tract 9, Marion County, Oregon",6868,414,1630,4877
41047001000,"Census Tract 10, Marion County, Oregon",4148,181,1330,2637
41047001100,"Census Tract 11, Marion County, Oregon",4394,34,913,3481
41047001200,"Census Tract 12, Marion County, Oregon",3663,31,694,2965
41047001300,"Census Tract 13, Marion County, Oregon",4079,0,401,3678
41047001401,"Census Tract 14.01, Marion County, Oregon",6485,50,1427,5058
41047001402,"Census Tract 14.02, Marion County, Oregon",5567,93,383,5153
41047001501,"Census Tract 15.01, Marion County, Oregon",4680,81,471,4122
41047001502,"Census Tract 15.02, Marion County, Oregon",5327,36,1041,4179
41047001503,"Census Tract 15.03, Marion County, Oregon",4566,57,1032,3478
41047001601,"Census Tract 16.01, Marion County, Oregon",7680,66,1149,6464
41047001602,"Census Tract 16.02, Marion County, Oregon",9858,18,2710,7135
41047001603,"Census Tract 16.03, Marion County, Oregon",6979,102,406,6513
41047001604,"Census Tract 16.04, Marion County, Oregon",8299,69,1940,6310
41047001701,"Census Tract 17.01, Marion County, Oregon",6674,48,1817,4838
41047001702,"Census Tract 17.02, Marion County, Oregon",5431,217,989,4238
41047001703,"Census Tract 17.03, Marion County, Oregon",4461,48,403,3970
41047001801,"Census Tract 18.01, Marion County, Oregon",6108,40,1420,4645
41047001802,"Census Tract 18.02, Marion County, Oregon",8671,9,1882,6738
41047001803,"Census Tract 18.03, Marion County, Oregon",5132,1885,536,2727
41047002000,"Census Tract 20, Marion County, Oregon",10437,96,1234,9150
41047002101,"Census Tract 21.01, Marion County, Oregon",2169,11,251,1882
41047002102,"Census Tract 21.02, Marion County, Oregon",6420,131,360,5972
41047002201,"Census Tract 22.01, Marion County, Oregon",2001,10,129,1872
41047002202,"Census Tract 22.02, Marion County, Oregon",6530,70,533,5955
41047002301,"Census Tract 23.01, Marion County, Oregon",3307,19,247,3040
41047002303,"Census Tract 23.03, Marion County, Oregon",7285,47,1242,5985
41047002304,"Census Tract 23.04, Marion County, Oregon",5758,60,292,5398
41047002400,"Census Tract 24, Marion County, Oregon",3547,0,187,3360
41047002501,"Census Tract 25.01, Marion County, Oregon",9347,31,835,8456
41047002502,"Census Tract 25.02, Marion County, Oregon",5421,19,676,4726
41047002600,"Census Tract 26, Marion County, Oregon",2002,26,181,1815
41047002700,"Census Tract 27, Marion County, Oregon",8699,204,598,7881
41047002800,"Census Tract 28, Marion County, Oregon",4064,0,503,3552
41047010100,"Census Tract 101, Marion County, Oregon",1467,53,154,1311
41047010201,"Census Tract 102.01, Marion County, Oregon",2587,0,199,2373
41047010202,"Census Tract 102.02, Marion County, Oregon",7640,7,698,6922
41047010303,"Census Tract 103.03, Marion County, Oregon",5013,19,860,4068
41047010304,"Census Tract 103.04, Marion County, Oregon",6372,13,1719,4617
41047010305,"Census Tract 103.05, Marion County, Oregon",4471,300,1044,3123
41047010306,"Census Tract 103.06, Marion County, Oregon",9455,128,3339,6039
41047010307,"Census Tract 103.07, Marion County, Oregon",5812,0,665,5111
41047010400,"Census Tract 104, Marion County, Oregon",4817,396,569,4125
41047010501,"Census Tract 105.01, Marion County, Oregon",5763,10,291,5472
41047010502,"Census Tract 105.02, Marion County, Oregon",6737,33,825,5899
41047010503,"Census Tract 105.03, Marion County, Oregon",3759,53,320,3412
41047010600,"Census Tract 106, Marion County, Oregon",2065,5,128,1932
41047010701,"Census Tract 107.01, Marion County, Oregon",8038,16,1541,6443
41047010702,"Census Tract 107.02, Marion County, Oregon",6768,86,887,5805
41047010801,"Census Tract 108.01, Marion County, Oregon",6450,7,749,5661
41047010802,"Census Tract 108.02, Marion County, Oregon",7431,9,1175,6219
41049970100,"Census Tract 9701, Morrow County, Oregon",8262,25,1354,6893
41049970200,"Census Tract 9702, Morrow County, Oregon",2945,27,340,2565
41051000100,"Census Tract 1, Multnomah County, Oregon",6293,7,604,5689
41051000200,"Census Tract 2, Multnomah County, Oregon",6615,5,852,5763
41051000301,"Census Tract 3.01, Multnomah County, Oregon",5431,1052,877,3510
41051000302,"Census Tract 3.02, Multnomah County, Oregon",7165,51,512,6643
41051000401,"Census Tract 4.01, Multnomah County, Oregon",3853,48,302,3515
41051000402,"Census Tract 4.02, Multnomah County, Oregon",3313,34,174,3114
41051000501,"Census Tract 5.01, Multnomah County, Oregon",4004,9,743,3226
41051000502,"Census Tract 5.02, Multnomah County, Oregon",4924,26,604,4278
41051000601,"Census Tract 6.01, Multnomah County, Oregon",5477,13,1440,4037
41051000602,"Census Tract 6.02, Multnomah County, Oregon",5991,20,828,4855
41051000701,"Census Tract 7.01, Multnomah County, Oregon",4755,18,623,4132
41051000702,"Census Tract 7.02, Multnomah County, Oregon",4953,55,746,4185
41051000801,"Census Tract 8.01, Multnomah County, Oregon",4524,53,528,3989
41051000802,"Census Tract 8.02, Multnomah County, Oregon",4771,22,711,4049
41051000901,"Census Tract 9.01, Multnomah County, Oregon",4172,55,497,3631
41051000902,"Census Tract 9.02, Multnomah County, Oregon",4385,106,1152,3108
41051001000,"Census Tract 10, Multnomah County, Oregon",5896,12,1102,4751
41051001101,"Census Tract 11.01, Multnomah County, Oregon",2106,195,733,1373
